TIMESTAMP,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
167127451957,-0.8313,-2.0562,0.2930,,,,,,,PP
167127451958,-1.2450,-2.8471,0.5021,,,,,,,PP
167127451960,-1.8469,-2.7432,0.7757,,,,,,,PP
167127451961,-1.4116,-1.8855,0.9993,,,,,,,PP
167127451962,-1.5505,-2.0806,1.3389,,,,,,,PP
167127451963,-1.6438,-2.0396,1.8958,,,,,,,PP
167127451964,-1.6069,-1.5637,1.2017,,,,,,,PP
167127451965,-1.6094,-1.6182,0.2422,,,,,,,PP
167127451966,-1.3442,-1.2280,0.3220,,,,,,,PP
167127451967,-1.3450,-1.1709,0.6733,,,,,,,PP
167127451968,-1.4004,-1.0588,0.5903,,,,,,,PP
167127451969,-1.4680,-0.9722,0.0959,,,,,,,PP
167127451970,-1.2292,-0.9976,0.6377,,,,,,,PP
167127451971,-0.9729,-1.1277,0.8472,,,,,,,PP
167127451972,-1.0430,-1.0752,0.6025,,,,,,,PP
167127451973,-2.0981,-1.7337,0.7369,,,,,,,PP
167127451975,-1.3804,-1.2163,0.6921,,,,,,,PP
167127451976,-1.9211,-1.8470,1.0220,,,,,,,PP
167127451978,-1.4392,-1.3728,0.6731,,,,,,,PP
167127451979,-2.0419,-2.1573,0.7295,,,,,,,PP
167127451981,-1.1484,-1.5654,0.8386,,,,,,,PP
167127451982,-0.8016,-2.3448,3.1292,,,,,,,PP
167127451984,-1.2297,-2.2781,0.6663,,,,,,,PP
167127451985,-1.2784,-2.8479,1.0014,,,,,,,PP
167127451987,-1.4995,-1.3442,1.2512,,,,,,,PP
167127451988,-2.6220,-2.0219,1.5221,,,,,,,PP
167127451990,-1.6943,-1.3264,0.6470,,,,,,,PP
167127451991,-2.8037,-1.8795,1.1764,,,,,,,PP
167127451993,-2.2122,-1.2151,0.5732,,,,,,,PP
167127451994,-3.3994,-1.9224,0.7409,,,,,,,PP
167127451996,-2.1086,-1.2153,0.5996,,,,,,,PP
167127451997,-3.0368,-1.6470,0.7096,,,,,,,PP
167127451999,-1.5332,-0.8865,0.3970,,,,,,,PP
167127452000,-1.9387,-1.4244,1.5389,,,,,,,PP
167127452001,-1.4993,-1.1306,1.0576,,,,,,,PP
167127452003,-1.9817,-1.9966,1.3694,,,,,,,PP
167127452004,-1.2585,-1.1819,1.3030,,,,,,,PP
167127452006,-1.8191,-1.8606,1.5227,,,,,,,PP
167127452008,-1.2185,-1.2642,1.1003,,,,,,,PP
167127452009,-1.8317,-1.9723,1.7337,,,,,,,PP
167127452010,-0.9065,-1.2039,1.0562,,,,,,,PP
167127452011,-0.7637,-1.0474,1.0437,,,,,,,PP
167127452012,-0.7036,-1.0930,0.8982,,,,,,,PP
167127452013,-1.1833,-1.1426,0.7988,,,,,,,PP
167127452015,-1.4001,-1.0254,0.7603,,,,,,,PP
167127452016,-1.0635,-0.9790,0.6392,,,,,,,PP
167127452017,-0.9451,-1.0481,1.0500,,,,,,,PP
167127452018,-0.4331,-0.6895,0.6985,,,,,,,PP
167127452019,-0.4453,-0.9480,0.6355,,,,,,,PP
167127452021,-0.2840,-1.4032,1.1522,,,,,,,PP
167127452022,0.0369,-0.9397,0.7573,,,,,,,PP
167127452024,-0.3963,-1.3016,1.0651,,,,,,,PP
167127452025,-0.9773,-0.9785,0.6477,,,,,,,PP
167127452027,-1.4219,-1.4594,0.7975,,,,,,,PP
167127452028,-0.7231,-0.6736,0.6951,,,,,,,PP
167127452029,-0.7437,-0.7712,0.5942,,,,,,,PP
167127452030,-0.8862,-0.8083,0.5527,,,,,,,PP
167127452032,-1.7271,-1.2504,1.2016,,,,,,,PP
167127452033,-1.2266,-1.1968,1.8145,,,,,,,PP
167127452034,-1.1577,-0.9170,1.4868,,,,,,,PP
167127452035,-1.3582,-1.0068,1.1196,,,,,,,PP
167127452036,-1.7375,-1.0442,0.9915,,,,,,,PP
167127452037,-1.8408,-0.9866,1.0730,,,,,,,PP
167127452038,-1.8884,-0.9663,1.0339,,,,,,,PP
167127452040,-3.0365,-1.4819,1.5629,,,,,,,PP
167127452041,-2.1362,-0.9614,1.1392,,,,,,,PP
167127452042,-2.0559,-1.0674,1.1587,,,,,,,PP
167127452043,-1.9614,-1.1094,1.0947,,,,,,,PP
167127452044,-1.9109,-1.0437,1.0042,,,,,,,PP
167127452045,-1.8931,-1.0598,0.8918,,,,,,,PP
167127452047,-2.9306,-1.6465,1.2343,,,,,,,PP
167127452048,-2.1421,-1.0427,0.8958,,,,,,,PP
167127452049,-2.1326,-0.9370,0.9473,,,,,,,PP
167127452050,-2.0835,-0.8960,0.9341,,,,,,,PP
167127452051,-2.0693,-0.7783,0.9194,,,,,,,PP
167127452052,-2.0117,-0.7024,0.8101,,,,,,,PP
167127452053,-1.9351,-0.7615,0.6565,,,,,,,PP
167127452054,-1.9072,-0.9224,0.6448,,,,,,,PP
167127452055,-2.0195,-1.0725,0.5759,,,,,,,PP
167127452056,-2.1365,-1.2283,0.3828,,,,,,,PP
167127452057,-2.3188,-1.4158,0.2830,,,,,,,PP
167127452058,-2.4463,-1.5569,0.2202,,,,,,,PP
167127452059,-2.5754,-1.6577,0.1062,,,,,,,PP
167127452060,-2.4587,-1.8506,0.0867,,,,,,,PP
167127452061,-2.2046,-1.8965,0.0813,,,,,,,PP
167127452062,-2.4805,-1.8411,0.1873,,,,,,,PP
167127452063,-2.6006,-1.9099,0.1565,,,,,,,PP
167127452064,-2.3582,-1.8669,0.1863,,,,,,,PP
167127452065,-2.1846,-1.7117,0.2791,,,,,,,PP
167127452066,-2.2822,-1.6653,0.2017,,,,,,,PP
167127452067,-2.3108,-1.6418,0.1519,,,,,,,PP
167127452068,-2.1697,-1.5676,0.1978,,,,,,,PP
167127452069,-2.0183,-1.5100,0.2104,,,,,,,PP
167127452070,-1.9614,-1.4417,0.1985,,,,,,,PP
167127452071,-1.9065,-1.4155,0.2046,,,,,,,PP
167127452072,-1.8245,-1.3340,0.1829,,,,,,,PP
167127452073,-1.6541,-1.4304,0.1292,,,,,,,PP
167127452074,-1.5596,-1.4219,0.3811,,,,,,,PP
167127452075,-1.5298,-1.1995,0.5488,,,,,,,PP
167127452076,-1.5955,-1.3125,0.3613,,,,,,,PP
167127452077,-1.7053,-1.3022,0.2815,,,,,,,PP
167127452078,-1.5071,-1.0903,0.3967,,,,,,,PP
167127452079,-1.1521,-0.8167,0.4600,,,,,,,PP
167127452080,-0.9775,-0.7102,0.5122,,,,,,,PP
167127452081,-0.9673,-0.6948,0.5862,,,,,,,PP
167127452082,-0.9016,-0.7720,0.5767,,,,,,,PP
167127452083,-0.7969,-0.7485,0.5103,,,,,,,PP
167127452084,-1.0498,-0.9907,0.6700,,,,,,,PP
167127452086,-0.6184,-0.7231,0.2549,,,,,,,PP
167127452087,-0.6038,-1.2717,0.3715,,,,,,,PP
167127452089,-0.0881,-0.9028,0.2947,,,,,,,PP
167127452090,-0.0806,-1.3538,0.7391,,,,,,,PP
167127452092,-0.3059,-0.9788,0.6052,,,,,,,PP
167127452093,-0.9910,-1.7185,0.5447,,,,,,,PP
167127452095,-0.9290,-1.3445,0.7577,,,,,,,PP
167127452096,-0.6914,-0.8467,0.4167,,,,,,,PP
167127452098,-0.8562,-0.8040,0.4883,,,,,,,PP
167127452099,-1.6095,-1.2706,0.7595,,,,,,,PP
167127452101,-1.5215,-0.8801,0.5894,,,,,,,PP
167127452102,-2.5707,-1.2585,1.5118,,,,,,,PP
167127452104,-1.4663,-1.0088,0.8955,,,,,,,PP
167127452105,-2.1582,-1.5009,1.3767,,,,,,,PP
167127452107,-1.8516,-1.0498,0.6194,,,,,,,PP
167127452108,-3.1135,-1.6278,1.1835,,,,,,,PP
167127452110,-2.1362,-1.2107,0.8147,,,,,,,PP
167127452111,-3.2281,-1.8251,1.2142,,,,,,,PP
167127452112,-2.1611,-1.4331,0.8215,,,,,,,PP
