ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
-0.7715,-0.7764,0.4546,,,,,,,PP
-0.8083,-0.7656,0.4612,,,,,,,PP
-0.8467,-0.7625,0.4590,,,,,,,PP
-0.9477,-0.7480,0.4930,,,,,,,PP
-0.8186,-0.8767,0.9412,,,,,,,PP
-0.7549,-0.9561,0.9939,,,,,,,PP
-0.7637,-1.0171,0.6536,,,,,,,PP
-0.7517,-0.8425,0.7847,,,,,,,PP
-0.9292,-0.9299,0.7000,,,,,,,PP
-1.1785,-0.9824,0.6133,,,,,,,PP
-1.3572,-0.9668,0.5894,,,,,,,PP
-1.4978,-0.9409,0.5967,,,,,,,PP
-1.6780,-0.9385,0.6926,,,,,,,PP
-1.8804,-0.9775,0.7144,,,,,,,PP
-2.0190,-0.9973,0.7312,,,,,,,PP
-2.0515,-1.0386,0.7773,,,,,,,PP
-2.0049,-1.1099,0.8115,,,,,,,PP
-1.9248,-1.1396,0.8508,,,,,,,PP
-1.8142,-1.1331,0.9397,,,,,,,PP
-1.7458,-1.0439,0.9102,,,,,,,PP
-1.7764,-0.9270,0.8210,,,,,,,PP
-1.8586,-0.8081,0.7834,,,,,,,PP
-1.9546,-0.7886,0.7122,,,,,,,PP
-2.1675,-0.8336,0.6552,,,,,,,PP
-2.3342,-0.9521,0.6282,,,,,,,PP
-2.3552,-1.0513,0.5972,,,,,,,PP
-2.3752,-1.1782,0.5540,,,,,,,PP
-2.3987,-1.3364,0.5232,,,,,,,PP
-2.3757,-1.4487,0.5044,,,,,,,PP
-2.3088,-1.5247,0.4890,,,,,,,PP
-2.2327,-1.5361,0.4336,,,,,,,PP
-2.0964,-1.4341,0.3728,,,,,,,PP
-1.8809,-1.3066,0.3536,,,,,,,PP
-2.2039,-1.5562,0.2979,,,,,,,PP
-2.1572,-1.4819,0.1483,,,,,,,PP
-2.6306,-1.7278,0.2085,,,,,,,PP
-2.3463,-1.6007,0.1814,,,,,,,PP
-2.1187,-1.4543,0.1084,,,,,,,PP
-1.9281,-1.3541,0.1481,,,,,,,PP
-1.6492,-1.2612,0.1887,,,,,,,PP
-1.5531,-1.2102,0.1950,,,,,,,PP
-1.5425,-1.2197,0.2197,,,,,,,PP
-1.4940,-1.1822,0.2461,,,,,,,PP
-1.3843,-1.0864,0.2249,,,,,,,PP
-1.2827,-1.0103,0.2437,,,,,,,PP
-1.2188,-0.9749,0.2698,,,,,,,PP
-1.1971,-0.9608,0.2821,,,,,,,PP
-1.1414,-0.9348,0.2952,,,,,,,PP
-1.0790,-0.8617,0.2991,,,,,,,PP
-1.0256,-0.7910,0.3135,,,,,,,PP
-0.9786,-0.7391,0.3438,,,,,,,PP
-1.0046,-0.6990,0.3662,,,,,,,PP
-1.1705,-0.7208,0.3715,,,,,,,PP
-1.3638,-0.7424,0.3975,,,,,,,PP
-1.4770,-0.7076,0.3842,,,,,,,PP
-1.6294,-0.6992,0.3687,,,,,,,PP
-1.8299,-0.7468,0.4092,,,,,,,PP
-1.8987,-0.7275,0.4224,,,,,,,PP
-1.9510,-0.6502,0.4252,,,,,,,PP
-2.0942,-0.5825,0.6675,,,,,,,PP
-1.9362,-0.7366,0.5630,,,,,,,PP
-1.9382,-0.7715,0.5269,,,,,,,PP
-2.0420,-0.9712,0.6613,,,,,,,PP
-2.2778,-1.0503,0.7002,,,,,,,PP
-2.0867,-1.4244,0.7980,,,,,,,PP
-2.3311,-1.5535,0.8760,,,,,,,PP
-2.2478,-1.9148,0.6780,,,,,,,PP
-2.0983,-1.6184,0.8619,,,,,,,PP
-2.1217,-1.5259,0.6298,,,,,,,PP
-2.0681,-1.3784,0.4761,,,,,,,PP
-2.0222,-1.4104,0.4888,,,,,,,PP
-2.0374,-1.3542,0.5876,,,,,,,PP
-2.2433,-1.2814,0.3194,,,,,,,PP
-2.4353,-1.1504,0.1746,,,,,,,PP
-2.4446,-1.1584,0.2034,,,,,,,PP
-2.4536,-1.3625,0.1108,,,,,,,PP
-2.5276,-1.1819,0.2549,,,,,,,PP
