TIMESTAMP,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
167127451957,-0.8313,-2.0562,0.2930,,,,,,,PP
167127451958,-0.8598,-1.8621,0.3401,,,,,,,PP
167127451960,-1.2699,-1.8489,0.5608,,,,,,,PP
167127451961,-1.4116,-1.8855,0.9993,,,,,,,PP
167127451962,-1.5505,-2.0806,1.3389,,,,,,,PP
167127451963,-1.6438,-2.0396,1.8958,,,,,,,PP
167127451964,-1.6069,-1.5637,1.2017,,,,,,,PP
167127451965,-1.6094,-1.6182,0.2422,,,,,,,PP
167127451966,-1.3442,-1.2280,0.3220,,,,,,,PP
167127451967,-1.3450,-1.1709,0.6733,,,,,,,PP
167127451968,-1.4004,-1.0588,0.5903,,,,,,,PP
167127451969,-1.4680,-0.9722,0.0959,,,,,,,PP
167127451970,-1.2292,-0.9976,0.6377,,,,,,,PP
167127451971,-0.9729,-1.1277,0.8472,,,,,,,PP
167127451972,-1.0430,-1.0752,0.6025,,,,,,,PP
167127451973,-1.4402,-1.1817,0.4689,,,,,,,PP
167127451975,-1.3804,-1.2163,0.6921,,,,,,,PP
167127451976,-1.2736,-1.2269,0.6882,,,,,,,PP
167127451978,-1.4392,-1.3728,0.6731,,,,,,,PP
167127451979,-1.3333,-1.4792,0.5007,,,,,,,PP
167127451981,-1.1484,-1.5654,0.8386,,,,,,,PP
167127451982,-0.6333,-1.6194,2.0400,,,,,,,PP
167127451984,-1.2297,-2.2781,0.6663,,,,,,,PP
167127451985,-0.9103,-1.8770,0.7086,,,,,,,PP
167127451987,-1.4995,-1.3442,1.2512,,,,,,,PP
167127451988,-1.7450,-1.3773,0.9629,,,,,,,PP
167127451990,-1.6943,-1.3264,0.6470,,,,,,,PP
167127451991,-1.8936,-1.2563,0.7909,,,,,,,PP
167127451993,-2.2122,-1.2151,0.5732,,,,,,,PP
167127451994,-2.2462,-1.2833,0.5085,,,,,,,PP
167127451996,-2.1086,-1.2153,0.5996,,,,,,,PP
167127451997,-1.9845,-1.0682,0.4446,,,,,,,PP
167127451999,-1.5332,-0.8865,0.3970,,,,,,,PP
167127452000,-1.2865,-0.9510,1.1330,,,,,,,PP
167127452001,-1.4993,-1.1306,1.0576,,,,,,,PP
167127452003,-1.3108,-1.3045,0.9522,,,,,,,PP
167127452004,-1.2585,-1.1819,1.3030,,,,,,,PP
