count,204,204,204,204,204,204,204,204,204,204,204
unique,85,94,80,83,41,74,55,6,5,7,1
top,166965072143,,,,,,,,,,SGN
freq,4,107,107,107,107,107,107,194,194,194,204
count,212,212,212,212,212,212,212,212,212,212,212
unique,92,96,87,97,63,88,76,9,6,6,1
top,166965072224,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,210,210,210,210,210,210,210,210,210,210,210
unique,90,98,97,93,82,85,78,7,9,6,1
top,166965072350,,,,,,,,,,SGN
freq,4,110,110,110,110,110,110,200,200,200,210
count,212,212,212,212,212,212,212,212,212,212,212
unique,90,98,95,100,74,90,80,8,6,6,1
top,166965072467,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,212,212,212,212,212,212,212,212,212,212,212
unique,92,81,84,88,73,58,48,7,6,6,1
top,166965072551,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,209,209,209,209,209,209,209,209,209,209,209
unique,88,101,98,99,98,101,96,10,10,8,1
top,166965072656,,,,,,,,,,SGN
freq,4,109,109,109,109,109,109,200,200,200,209
count,210,210,210,210,210,210,210,210,210,210,210
unique,91,99,99,99,96,99,96,6,9,10,1
top,166965072755,,,,,,,,,,SGN
freq,4,110,110,110,110,110,110,200,200,200,210
count,214,214,214,214,214,214,214,214,214,214,214
unique,89,103,103,103,100,103,93,9,10,11,1
top,166965072824,,,,,,,,,,SGN
freq,4,112,112,112,112,112,112,204,204,204,214
count,210,210,210,210,210,210,210,210,210,210,210
unique,92,96,100,96,100,98,89,11,10,6,1
top,166965072937,,,,,,,,,,SGN
freq,5,110,110,110,110,110,110,200,200,200,210
count,210,210,210,210,210,210,210,210,210,210,210
unique,90,96,92,92,79,93,90,7,7,6,1
top,166965073031,,,,,,,,,,SGN
freq,4,110,110,110,110,110,110,200,200,200,210
count,212,212,212,212,212,212,212,212,212,212,212
unique,88,87,84,92,72,67,56,7,5,6,1
top,166965073190,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,209,209,209,209,209,209,209,209,209,209,209
unique,92,86,90,84,63,69,50,7,8,6,1
top,166965073199,,,,,,,,,,SGN
freq,4,109,109,109,109,109,109,200,200,200,209
count,212,212,212,212,212,212,212,212,212,212,212
unique,86,85,77,83,52,75,43,6,7,9,1
top,166965073361,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,212,212,212,212,212,212,212,212,212,212,212
unique,96,100,94,94,66,85,69,8,7,4,1
top,166965073472,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,214,214,214,214,214,214,214,214,214,214,214
unique,85,98,96,97,77,80,55,7,5,6,1
top,166965073580,,,,,,,,,,SGN
freq,4,112,112,112,112,112,112,204,204,204,214
count,210,210,210,210,210,210,210,210,210,210,210
unique,92,96,91,93,75,89,59,7,7,6,1
top,166965073613,,,,,,,,,,SGN
freq,4,110,110,110,110,110,110,200,200,200,210
count,212,212,212,212,212,212,212,212,212,212,212
unique,90,101,102,101,96,99,94,9,9,8,1
top,166965073787,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,208,208,208,208,208,208,208,208,208,208,208
unique,92,99,96,98,81,92,85,11,8,8,1
top,166965073892,,,,,,,,,,SGN
freq,4,109,109,109,109,109,109,198,198,198,208
count,213,213,213,213,213,213,213,213,213,213,213
unique,89,101,99,101,85,99,81,6,6,8,1
top,166965073952,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,204,204,204,213
count,214,214,214,214,214,214,214,214,214,214,214
unique,89,95,82,81,66,75,56,6,7,7,1
top,166965074027,,,,,,,,,,SGN
freq,4,112,112,112,112,112,112,204,204,204,214
count,210,210,210,210,210,210,210,210,210,210,210
unique,93,99,97,96,79,94,81,10,7,9,1
top,166965074120,,,,,,,,,,SGN
freq,4,110,110,110,110,110,110,200,200,200,210
count,212,212,212,212,212,212,212,212,212,212,212
unique,87,97,96,95,74,93,72,9,7,7,1
top,166965074291,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,212,212,212,212,212,212,212,212,212,212,212
unique,93,91,82,89,63,87,63,7,8,6,1
top,166965074351,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,212,212,212,212,212,212,212,212,212,212,212
unique,89,97,88,91,65,92,77,6,7,7,1
top,166965074456,,,,,,,,,,SGN
freq,5,111,111,111,111,111,111,202,202,202,212
count,210,210,210,210,210,210,210,210,210,210,210
unique,91,99,86,95,79,96,82,10,7,9,1
top,166965074591,,,,,,,,,,SGN
freq,4,110,110,110,110,110,110,200,200,200,210
count,208,208,208,208,208,208,208,208,208,208,208
unique,87,99,95,93,86,94,82,5,7,7,1
top,166965074648,,,,,,,,,,SGN
freq,4,109,109,109,108,108,108,199,199,199,208
count,213,213,213,213,213,213,213,213,213,213,213
unique,89,101,97,100,81,94,89,9,8,6,1
top,166965074750,,,,,,,,,,SGN
freq,4,111,111,111,112,112,112,203,203,203,213
count,212,212,212,212,212,212,212,212,212,212,212
unique,92,97,90,91,62,93,65,7,10,6,1
top,166965074855,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,212,212,212,212,212,212,212,212,212,212,212
unique,86,96,90,82,52,80,55,7,8,6,1
top,166965074990,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,212,212,212,212,212,212,212,212,212,212,212
unique,94,89,78,88,40,74,47,7,7,7,1
top,166965075020,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,211,211,211,211,211,211,211,211,211,211,211
unique,87,82,68,80,29,65,39,6,6,4,1
top,166965075152,,,,,,,,,,SGN
freq,4,111,111,111,110,110,110,201,201,201,211
count,209,209,209,209,209,209,209,209,209,209,209
unique,93,80,63,71,26,57,26,7,9,5,1
top,166965075272,,,,,,,,,,SGN
freq,4,109,109,109,110,110,110,199,199,199,209
count,214,214,214,214,214,214,214,214,214,214,214
unique,92,83,54,60,27,55,34,5,6,6,1
top,166965075356,,,,,,,,,,SGN
freq,4,112,112,112,112,112,112,204,204,204,214
count,210,210,210,210,210,210,210,210,210,210,210
unique,89,86,78,86,52,76,39,7,5,6,1
top,166965075446,,,,,,,,,,SGN
freq,4,110,110,110,109,109,109,201,201,201,210
count,211,211,211,211,211,211,211,211,211,211,211
unique,92,78,57,64,24,40,25,7,7,7,1
top,166965075563,,,,,,,,,,SGN
freq,4,110,110,110,111,111,111,201,201,201,211
count,209,209,209,209,209,209,209,209,209,209,209
unique,87,71,54,65,29,44,30,5,7,6,1
top,166965075650,,,,,,,,,,SGN
freq,4,110,110,110,109,109,109,199,199,199,209
count,213,213,213,213,213,213,213,213,213,213,213
unique,94,74,59,63,31,44,30,5,4,6,1
top,166965075728,,,,,,,,,,SGN
freq,4,111,111,111,112,112,112,203,203,203,213
count,210,210,210,210,210,210,210,210,210,210,210
unique,85,89,63,77,31,78,45,7,9,5,1
top,166965075857,,,,,,,,,,SGN
freq,4,110,110,110,110,110,110,200,200,200,210
count,211,211,211,211,211,211,211,211,211,211,211
unique,88,96,76,78,42,89,48,7,7,7,1
top,166965075995,,,,,,,,,,SGN
freq,4,111,111,111,110,110,110,201,201,201,211
count,212,212,212,212,212,212,212,212,212,212,212
unique,92,79,61,69,29,49,34,6,7,5,1
top,166965076055,,,,,,,,,,SGN
freq,4,110,110,110,111,111,111,203,203,203,212
count,210,210,210,210,210,210,210,210,210,210,210
unique,91,90,75,78,38,73,36,6,9,7,1
top,166965076169,,,,,,,,,,SGN
freq,4,110,110,110,110,110,110,200,200,200,210
count,212,212,212,212,212,212,212,212,212,212,212
unique,90,73,64,66,42,49,35,6,6,5,1
top,166965076229,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,212,212,212,212,212,212,212,212,212,212,212
unique,88,74,63,73,33,45,27,6,7,6,1
top,166965076391,,,,,,,,,,SGN
freq,4,111,111,111,111,111,111,202,202,202,212
count,210,210,210,210,210,210,210,210,210,210,210
unique,94,71,46,64,28,41,27,5,8,3,1
top,166965076421,,,,,,,,,,SGN
freq,4,110,110,110,110,110,110,200,200,200,210
count,210,210,210,210,210,210,210,210,210,210,210
unique,85,96,84,89,52,81,67,8,6,7,1
top,166965076553,,,,,,,,,,SGN
