TIMESTAMP,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
166965072098,,,,,,,-13.1875,-67.0625,-4.6875,SGN
166965072101,0.5403,-0.2766,1.9456,-2.3780,2.6829,2.0122,,,,SGN
166965072103,0.5227,-0.2866,1.9419,-2.0122,1.0976,2.1341,,,,SGN
166965072104,0.6076,-0.2741,1.9135,-2.0122,2.2561,2.5305,,,,SGN
166965072107,0.6001,-0.2722,1.9537,-2.5000,8.1098,2.2256,,,,SGN
166965072108,0.5142,-0.2839,1.9438,-2.9878,7.3171,1.4024,,,,SGN
166965072109,,,,,,,-14.2500,-66.3125,-5.5000,SGN
166965072110,0.5181,-0.2670,1.9688,-3.4146,3.2622,1.7073,,,,SGN
166965072111,0.5632,-0.2695,1.9326,-2.9878,5.9756,1.4634,,,,SGN
166965072112,0.5781,-0.2749,1.8682,-2.3171,8.8415,1.5854,,,,SGN
166965072113,0.6317,-0.2913,1.8205,-0.2134,12.7744,0.5488,,,,SGN
166965072115,0.6204,-0.2791,1.8665,-0.7927,14.2683,1.1585,,,,SGN
166965072116,0.5862,-0.3112,1.9263,-0.7927,12.0732,0.3049,,,,SGN
166965072117,,,,-0.9146,9.7561,0.6098,,,,SGN
166965072118,0.5386,-0.3394,1.9346,-1.1585,7.3780,0.0610,,,,SGN
166965072119,0.5066,-0.3459,1.9331,-0.4268,5.1829,-1.0366,-13.1875,-67.0625,-5.8750,SGN
166965072120,0.5139,-0.3398,1.9414,-0.2439,3.6585,-0.9756,,,,SGN
166965072121,0.5100,-0.3259,1.9590,-0.6707,3.0488,-0.7317,,,,SGN
166965072122,0.5027,-0.3244,1.9636,-1.0976,2.1951,-0.7317,,,,SGN
166965072123,0.5112,-0.3274,1.9319,-0.5488,0.8537,-1.6463,,,,SGN
166965072124,,,,-0.6707,-0.3049,-1.4634,,,,SGN
166965072125,0.5448,-0.3171,1.9361,-0.2439,-1.8902,-1.8598,,,,SGN
166965072127,0.5681,-0.3147,1.9399,0.0610,-0.7927,-2.6220,,,,SGN
166965072128,0.5608,-0.3109,1.9191,0.0610,0.1220,-3.2317,,,,SGN
166965072129,,,,0.3049,-0.9146,-3.0488,-13.1875,-67.0625,-5.0625,SGN
166965072130,0.5300,-0.3003,1.9517,,,,,,,SGN
166965072131,0.5024,-0.2870,1.9688,-0.5488,-1.8902,-1.9207,,,,SGN
166965072132,0.5347,-0.2913,1.9443,-0.4268,-4.6341,-1.6463,,,,SGN
166965072133,,,,-0.5488,-4.1463,-1.1585,,,,SGN
166965072134,0.5831,-0.2876,1.9345,-0.2440,-1.3720,-0.5183,,,,SGN
166965072135,0.5725,-0.2783,1.9575,-0.2439,2.6220,0.5488,,,,SGN
166965072137,0.5262,-0.2821,1.9724,-0.1525,3.9939,0.5487,,,,SGN
166965072138,0.4915,-0.2874,1.9548,-0.1829,1.5244,1.1585,,,,SGN
166965072139,,,,,,,-13.5000,-66.6875,-4.6875,SGN
