ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
,,,,,,-21.0625,-67.4375,-3.7500,CCH
0.0156,-0.0129,1.8948,-0.1220,-10.2439,0.1829,,,,CCH
,,,1.3415,1.8902,1.8902,,,,CCH
-0.1416,0.0212,1.8733,-2.2561,15.4268,1.5244,,,,CCH
-0.3720,0.0728,1.8882,1.5244,19.2683,0.0610,,,,CCH
,,,2.9268,8.4146,11.2195,,,,CCH
-0.2581,0.0239,2.1597,7.9878,18.3537,1.2195,,,,CCH
-0.2239,0.1362,2.2544,-3.7195,24.0854,4.7561,,,,CCH
-0.4465,0.1013,2.2214,6.4024,25.3659,5.1220,,,,CCH
-0.3271,-0.0457,1.9839,7.5610,19.7561,-6.2805,,,,CCH
,,,,,,-20.6875,-68.1875,-3.7500,CCH
-0.4009,0.0572,2.0420,0.4573,18.3232,-0.0610,,,,CCH
-0.4263,0.0591,1.9126,-2.3171,4.8780,-2.5610,,,,CCH
-0.4771,0.0981,1.7373,-1.5854,-2.8659,0.1829,,,,CCH
-0.3271,0.0737,1.7107,1.2195,-0.4268,-1.8902,,,,CCH
-0.4331,-0.0544,1.8784,2.3780,12.1951,1.8902,,,,CCH
-0.1614,0.0557,2.1506,-4.3902,15.6098,10.0000,,,,CCH
-0.1541,0.0396,2.1250,,,,,,,CCH
,,,-4.1463,7.5610,4.7561,,,,CCH
-0.4968,0.0623,1.9951,-1.0976,-7.9878,-2.0122,,,,CCH
-0.4255,0.0698,2.0178,-1.0366,-8.0488,-0.1220,,,,CCH
,,,,,,-20.0000,-67.1250,-4.5000,CCH
-0.3051,0.0773,2.0221,-3.5366,-0.1829,2.0732,,,,CCH
,,,-3.1098,2.7439,1.5854,,,,CCH
-0.3836,0.0145,1.9282,-2.1341,1.4024,0.5488,,,,CCH
-0.3850,0.0298,1.9109,-1.9817,-0.7927,0.4574,,,,CCH
-0.4187,0.0593,1.9519,-2.3780,-2.5610,0.0610,,,,CCH
-0.4378,0.0572,2.0356,-2.4085,-6.4634,-1.0976,,,,CCH
-0.4377,0.0828,2.2000,-5.2439,-9.9390,-3.3537,,,,CCH
-0.4644,0.0968,2.2599,-7.2561,-12.0732,-6.0976,,,,CCH
,,,-8.2927,-15.7927,-8.7195,-20.6875,-67.1250,-3.7500,CCH
-0.4448,0.0906,2.2219,-8.7805,-16.6463,-7.8659,,,,CCH
-0.4390,0.0940,2.2114,-10.0000,-17.4390,-9.0244,,,,CCH
-0.4219,0.0750,2.2446,-10.7927,-13.9024,-6.5244,,,,CCH
-0.4660,0.0625,2.4026,-12.6220,-6.5854,-4.7561,,,,CCH
-0.4839,-0.0430,2.2046,-17.2561,-2.0732,-5.4268,,,,CCH
,,,-19.0244,-0.8537,-10.6098,,,,CCH
-0.4116,-0.1580,1.8320,-17.1341,3.4756,-12.3171,,,,CCH
-0.2786,-0.1111,1.6165,-13.5366,12.2561,-5.3659,,,,CCH
