ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
0.8516,-0.6189,1.7886,1.7683,-3.4146,0.4878,,,,SGN
0.8306,-0.6167,1.7434,2.3780,-5.2439,0.2439,,,,SGN
0.8005,-0.5835,1.7861,0.1220,-9.3293,0.7317,,,,SGN
0.8887,-0.6174,1.7834,-0.4268,-7.8049,3.4756,,,,SGN
0.9255,-0.6421,1.7698,0.5488,-1.6463,1.5854,,,,SGN
0.8577,-0.6101,1.7732,0.6098,0.6098,-0.2439,,,,SGN
0.8269,-0.6101,1.7622,0.3049,-0.7317,1.7073,,,,SGN
0.8105,-0.6140,1.7588,0.3659,-2.2561,2.0122,,,,SGN
,,,,,,-16.8125,-79.8750,-11.4375,SGN
0.8221,-0.6119,1.7462,0.6098,-2.5305,0.9756,,,,SGN
0.8206,-0.6050,1.7495,1.1585,-2.3171,1.0366,,,,SGN
0.8254,-0.6074,1.7515,1.1585,-2.2561,0.6707,,,,SGN
0.8215,-0.6184,1.7576,1.4634,-1.4024,0.6098,,,,SGN
0.8357,-0.6208,1.7517,1.5854,-1.6463,0.3049,,,,SGN
0.8279,-0.6172,1.7546,1.2195,-1.2195,-0.3659,,,,SGN
0.8215,-0.6204,1.7622,1.5244,-0.5488,0.0000,,,,SGN
0.8467,-0.6128,1.7622,1.2805,-0.7317,0.1220,,,,SGN
0.8574,-0.6157,1.7678,1.4634,-0.7927,0.3049,,,,SGN
0.8567,-0.6226,1.7644,1.7073,0.4268,-0.1220,-15.0000,-80.1875,-10.6250,SGN
0.8533,-0.6143,1.7610,1.2805,1.0976,-0.1220,,,,SGN
0.8557,-0.6155,1.7571,1.6463,1.5244,0.3659,,,,SGN
0.8354,-0.6196,1.7578,1.2195,0.9146,0.3659,,,,SGN
0.8218,-0.6177,1.7676,0.6707,0.4878,0.2439,,,,SGN
0.8516,-0.6079,1.7693,0.7927,-0.0610,0.6707,,,,SGN
0.8650,-0.5989,1.7712,0.6098,1.4024,0.4878,,,,SGN
0.8701,-0.6025,1.7754,0.8537,1.7073,0.7317,,,,SGN
0.8735,-0.6018,1.7646,0.7317,0.9756,0.6707,,,,SGN
