ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ
,,,,,,2.5000,-75.7500,-0.3750
,,,1.6463,-0.8537,-11.7683,,,
-0.3010,-0.2974,1.9990,4.6951,-1.7073,-20.5488,,,
-0.3013,-0.3423,2.0181,4.2073,-1.2805,-30.7927,,,
-0.2506,-0.1336,2.0116,5.3659,-1.5854,-37.9878,,,
,,,6.4634,-1.8293,-41.7683,,,
-0.2256,-0.0503,1.9954,3.5976,-2.1341,-43.4146,,,
-0.2378,-0.0085,2.0037,5.1220,-2.4390,-43.1707,,,
-0.2244,0.0195,1.9917,4.2073,-1.8902,-43.3537,,,
,,,,,,2.5000,-75.3750,-0.3750
-0.1914,0.0649,2.0110,4.4512,-1.8598,-41.9512,,,
-0.1733,0.2197,2.0068,4.2683,-1.0976,-34.9390,,,
-0.1494,0.2546,1.9939,3.1098,-0.9756,-28.6585,,,
-0.1349,0.2506,2.0076,2.6829,-0.8841,-21.9207,,,
-0.1460,0.3291,1.9963,0.0000,-1.3415,-10.4268,,,
-0.1843,0.1951,2.0332,-4.9085,-2.7134,-0.7622,,,
-0.2139,0.0105,2.0354,-9.1463,-3.7805,-0.9756,,,
-0.1958,0.0500,2.0271,-10.8537,-4.6341,-0.5488,1.4375,-76.1250,0.0000
-0.1768,0.1003,2.0359,-13.3537,-4.6341,2.9878,,,
-0.1309,0.2043,2.0366,-15.7317,-6.5854,10.3049,,,
-0.0588,0.2917,2.0101,-17.5000,-6.0671,27.7744,,,
-0.0093,0.2646,1.9373,-11.5854,-1.8293,46.7683,,,
-0.0192,0.2604,1.9350,-1.4329,4.1768,63.0488,,,
-0.0725,0.1594,1.9263,,,,,,
-0.2359,-0.0138,2.0348,9.5427,11.4024,72.4085,,,
,,,5.7317,7.6220,65.7317,2.5000,-75.7500,1.1250
-0.4148,-0.3083,2.1069,,,,,,
-0.5464,-0.6004,1.9834,-1.3110,1.9207,44.2378,,,
,,,0.0000,1.5854,13.4756,,,
-0.4158,-0.3806,1.9814,9.1463,-2.9268,0.4268,,,
-0.1910,0.0396,2.0066,6.6159,1.9817,0.5183,,,
-0.2502,-0.0544,2.0381,4.8780,0.4878,-1.7073,,,
-0.2859,-0.2414,2.0281,2.5000,-1.3720,-13.6585,,,
-0.2878,-0.2751,2.0083,2.6220,-0.8537,-27.4390,,,
-0.2729,-0.2576,2.0129,5.3659,-2.0122,-36.5244,2.1250,-76.5000,1.1250
-0.2397,-0.2739,2.0205,4.2683,-2.3780,-46.6463,,,
-0.2502,-0.2017,2.0139,6.4634,-2.8049,-53.8415,,,
-0.2355,-0.0643,2.0025,6.7378,-2.1646,-55.9451,,,
-0.1938,0.0422,2.0154,6.8293,-1.2195,-55.8537,,,
-0.1703,0.1360,2.0068,6.2500,-2.5000,-54.7866,,,
-0.1917,0.2681,1.9897,4.9390,-2.3171,-46.0976,,,
-0.1902,0.4346,1.9854,1.8902,-2.0122,-32.1951,1.8125,-75.3750,0.0000
-0.1396,0.5547,1.9873,0.3049,-1.7073,-16.4024,,,
-0.0508,0.5422,2.0066,-1.7683,0.7317,-2.5000,,,
-0.2094,0.0836,2.0629,-7.4695,-4.4512,-0.8537,,,
-0.1836,0.0962,2.0381,,,,,,
,,,-13.9634,-5.2439,0.9756,,,
-0.0679,0.3032,2.0330,-16.9817,-5.0915,14.6341,,,
0.0774,0.4255,1.9292,-10.0000,-2.5610,34.0854,,,
0.0143,0.2930,1.8946,3.5061,5.7927,48.9329,,,
,,,,,,2.1250,-75.7500,1.5000
-0.0759,0.2336,2.0061,7.6220,8.4146,57.5000,,,
-0.2303,0.0251,2.1048,-1.7073,3.1098,55.7317,,,
-0.3015,-0.0942,1.9692,-3.6585,3.3537,52.0122,,,
-0.3683,-0.2122,1.9979,-3.4451,2.0122,43.7500,,,
-0.4043,-0.2610,2.0066,-3.8415,1.3415,34.8780,,,
-0.4462,-0.4154,1.9863,-1.0976,0.3354,18.5366,,,
-0.2812,-0.2866,2.0002,1.9512,2.2561,0.5488,,,
-0.1582,0.0361,1.9797,7.4390,1.4024,0.7317,2.5000,-76.5000,0.0000
-0.2219,0.0164,2.0034,5.2439,1.9512,0.5488,,,
-0.2515,-0.0676,2.0259,7.4390,1.7683,-0.2439,,,
-0.3418,-0.2741,2.0303,4.6951,-0.2134,-9.8171,,,
-0.3240,-0.5364,2.0166,4.5122,-1.4024,-32.9878,,,
-0.2677,-0.3075,2.0257,6.2500,-2.6829,-48.9634,,,
-0.1990,-0.0950,1.9932,6.5854,-2.8049,-57.7439,,,
-0.1732,-0.0272,2.0213,7.1951,-2.8049,-63.3841,,,
,,,,,,1.8125,-75.0625,0.3750
-0.1895,0.2371,1.9975,5.4573,-2.6524,-56.3415,,,
-0.1763,0.5215,1.9873,3.7805,-1.5854,-34.8780,,,
-0.1321,0.6243,1.9741,0.0610,-0.4268,-18.0488,,,
-0.1145,0.4121,2.0154,-2.7439,-1.0366,-2.6829,,,
-0.2324,-0.0107,2.0557,-7.0732,-3.7805,-0.1829,,,
-0.1980,0.0566,2.0276,-9.9085,-4.2988,0.2439,,,
-0.1558,0.1877,2.0364,-12.6220,-5.9146,7.9268,,,
,,,,,,1.4375,-74.3125,0.7500
-0.1006,0.2866,2.0200,-13.9634,-4.1463,19.8780,,,
-0.0583,0.3218,1.9446,-9.5732,-2.0732,33.5366,,,
-0.0767,0.2231,1.9009,-2.0732,3.0488,44.1463,,,
-0.0916,0.1526,1.9307,,,,,,
